peek_index,side,lag_ms,r,n_overlap
0,L,140.625,-0.4857809883071704,40
0,L,148.4375,-0.3936520779487478,39
0,L,156.25,-0.28889905785000125,38
0,L,164.0625,-0.178441878996874,37
0,L,171.875,-0.07485300038004893,36
0,L,179.6875,0.04486168119350832,35
0,L,187.5,0.1762972464419351,34
0,L,195.3125,0.2787623719631238,33
0,L,203.125,0.3843913387499635,32
0,L,210.9375,0.5009105358527112,31
0,L,218.75,0.6285528586617627,30
0,L,226.5625,0.6352875631470803,29
0,L,234.375,0.6405167534277435,28
0,L,242.1875,0.64434133801205,27
0,L,250.0,0.6515021312983826,26
1,R,-250.0,-0.8412338488415161,39
1,R,-242.1875,-0.8400058632775264,40
1,R,-234.375,-0.8349836040376056,41
1,R,-226.5625,-0.8297831073970009,42
1,R,-218.75,-0.8337712391730971,43
1,R,-210.9375,-0.8287644976698446,44
1,R,-203.125,-0.8209197549003463,45
1,R,-195.3125,-0.8322961319547629,46
1,R,-187.5,-0.8284583459749616,47
1,R,-179.6875,-0.8435447912887208,48
1,R,-171.875,-0.8491232194984495,49
1,R,-164.0625,-0.84781155475072,50
1,R,-156.25,-0.8485695324817375,51
1,R,-148.4375,-0.8462181603036287,52
1,R,-140.625,-0.8374853846360144,53
1,R,-132.8125,-0.827165326240482,54
1,R,-125.0,-0.7901293362285222,55
1,R,-117.1875,-0.7349971936066263,56
1,R,-109.375,-0.6700614984405703,57
1,R,-101.5625,-0.5193669368269132,58
1,R,-93.75,-0.3971868602173735,59
1,R,-85.9375,-0.23491468952458563,60
1,R,-78.125,-0.04685391511382139,61
1,R,-70.3125,0.1113851821846451,62
1,R,-62.5,0.24216503515585638,63
1,R,-54.6875,0.34066356325616753,64
1,R,-46.875,0.42927605017868825,65
1,R,-39.0625,0.5032636637438608,66
1,R,-31.25,0.5624308006587629,67
1,R,-23.4375,0.6149637327152413,68
1,R,-15.625,0.6486880637298061,69
1,R,-7.8125,0.6703655929602129,70
1,R,0.0,0.6889435033463809,71
1,R,7.8125,0.691511660383265,70
1,R,15.625,0.6897122167986532,69
1,R,23.4375,0.677549845849559,68
1,R,31.25,0.6571821856350472,67
1,R,39.0625,0.6308092510507467,66
1,R,46.875,0.6003797841879864,65
1,R,54.6875,0.5657248535034315,64
1,R,62.5,0.5286799752202396,63
1,R,70.3125,0.49228003806968823,62
1,R,78.125,0.44759584037521866,61
1,R,85.9375,0.40632503017016064,60
1,R,93.75,0.36736248065214877,59
1,R,101.5625,0.3182953618481972,58
1,R,109.375,0.27301318983012957,57
1,R,117.1875,0.25957205321846694,56
1,R,125.0,0.24151360615507564,55
1,R,132.8125,0.21542361596335793,54
1,R,140.625,0.20435005990517532,53
1,R,148.4375,0.17882854097385636,52
1,R,156.25,0.15339663840457296,51
1,R,164.0625,0.1396000074827771,50
1,R,171.875,0.10283956773535041,49
1,R,179.6875,0.0773535341863299,48
1,R,187.5,0.047920669591543966,47
1,R,195.3125,0.009992409914032229,46
1,R,203.125,-0.027976341244979365,45
1,R,210.9375,-0.07285126243855156,44
1,R,218.75,-0.11485636329778677,43
1,R,226.5625,-0.17506812629813495,42
1,R,234.375,-0.24172207796883677,41
1,R,242.1875,-0.2996875516575148,40
1,R,250.0,-0.3890489982316834,39
2,L,-250.0,0.9041503411559157,39
2,L,-242.1875,0.8783371627955999,40
2,L,-234.375,0.8709179039487999,41
2,L,-226.5625,0.8571560922044856,42
2,L,-218.75,0.8444755868825705,43
2,L,-210.9375,0.8458115239507811,44
2,L,-203.125,0.849280094554131,45
2,L,-195.3125,0.8449809407612955,46
2,L,-187.5,0.8596892404626773,47
2,L,-179.6875,0.8520217223373805,48
2,L,-171.875,0.8513642925480184,49
2,L,-164.0625,0.8420685153675375,50
2,L,-156.25,0.8314868017728848,51
2,L,-148.4375,0.8258972522285822,52
2,L,-140.625,0.8127120709513518,53
2,L,-132.8125,0.7214333156568877,54
2,L,-125.0,0.5296385672285071,55
2,L,-117.1875,0.38773642157824867,56
2,L,-109.375,0.2831108529787108,57
2,L,-101.5625,0.17421789104814614,58
2,L,-93.75,0.08339836221797074,59
2,L,-85.9375,-0.002767618578302909,60
2,L,-78.125,-0.08599783410127225,61
2,L,-70.3125,-0.15963081127256368,62
2,L,-62.5,-0.2406365101417785,63
2,L,-54.6875,-0.30816210777241043,64
2,L,-46.875,-0.37675065204159475,65
2,L,-39.0625,-0.4382121517069119,66
2,L,-31.25,-0.48314890366178626,67
2,L,-23.4375,-0.5221057820857077,68
2,L,-15.625,-0.560744303810181,69
2,L,-7.8125,-0.5939044566503692,70
2,L,0.0,-0.6216245038305974,71
2,L,7.8125,-0.6420332788878228,70
2,L,15.625,-0.6597455253707036,69
2,L,23.4375,-0.6698162464477069,68
2,L,31.25,-0.6762274254172,67
2,L,39.0625,-0.6804107217273517,66
2,L,46.875,-0.6796829044188353,65
2,L,54.6875,-0.6731377787159732,64
2,L,62.5,-0.6607759881868982,63
2,L,70.3125,-0.641023672673081,62
2,L,78.125,-0.6129303265133369,61
2,L,85.9375,-0.6036861700557224,60
2,L,93.75,-0.5894375994580124,59
2,L,101.5625,-0.5741890909314343,58
2,L,109.375,-0.5565438288931565,57
2,L,117.1875,-0.5335787522303705,56
2,L,125.0,-0.5107587514303309,55
2,L,132.8125,-0.48799642106515234,54
2,L,140.625,-0.4628389861067284,53
2,L,148.4375,-0.4389879677130707,52
2,L,156.25,-0.41392628961579986,51
2,L,164.0625,-0.38095799243903655,50
2,L,171.875,-0.3459621363241564,49
2,L,179.6875,-0.3022528962556443,48
2,L,187.5,-0.25921272053055305,47
2,L,195.3125,-0.20638597063470684,46
2,L,203.125,-0.14552658259563936,45
2,L,210.9375,-0.0781331224550451,44
2,L,218.75,0.004648523607919576,43
2,L,226.5625,0.07943786776810363,42
2,L,234.375,0.1529890736772647,41
2,L,242.1875,0.2532381145067772,40
2,L,250.0,0.33781695251507754,39
3,R,-250.0,-0.8129538258328958,30
3,R,-242.1875,-0.8124533379274606,31
3,R,-234.375,-0.8019739103954842,32
3,R,-226.5625,-0.7961754109152083,33
3,R,-218.75,-0.797040879005971,34
3,R,-210.9375,-0.8016746585790236,35
3,R,-203.125,-0.8132043249350792,36
3,R,-195.3125,-0.8193037046293373,37
3,R,-187.5,-0.8360776661133746,38
3,R,-179.6875,-0.8387783762431246,39
3,R,-171.875,-0.8512180905131371,40
3,R,-164.0625,-0.8714317704952986,41
3,R,-156.25,-0.8852242814706451,42
3,R,-148.4375,-0.8975596616343836,43
3,R,-140.625,-0.9082889657420531,44
3,R,-132.8125,-0.920431384318359,45
3,R,-125.0,-0.9179349119183686,46
3,R,-117.1875,-0.9094561249211166,47
3,R,-109.375,-0.8813199745729257,48
3,R,-101.5625,-0.6663118776636882,49
3,R,-93.75,-0.4896617530821151,50
3,R,-85.9375,-0.34105317422283193,51
3,R,-78.125,-0.19925897189189587,52
3,R,-70.3125,-0.06937408869136417,53
3,R,-62.5,0.05905903197712957,54
3,R,-54.6875,0.17537139443524727,55
3,R,-46.875,0.26270272852488424,56
3,R,-39.0625,0.3535625809378441,57
3,R,-31.25,0.43554430865008903,58
3,R,-23.4375,0.503082479935349,59
3,R,-15.625,0.5610045671983567,60
3,R,-7.8125,0.6016327486671603,61
3,R,0.0,0.6419194493079561,62
3,R,7.8125,0.6624740606188126,61
3,R,15.625,0.6767171031853332,60
3,R,23.4375,0.6867158239749559,59
3,R,31.25,0.6865293058801502,58
3,R,39.0625,0.6803294433218942,57
3,R,46.875,0.6669074607345609,56
3,R,54.6875,0.6448127867986406,55
3,R,62.5,0.6185741071742146,54
3,R,70.3125,0.5929226773148053,53
3,R,78.125,0.5607860463478856,52
3,R,85.9375,0.5283837951434419,51
3,R,93.75,0.4924815215018952,50
3,R,101.5625,0.4529071457255627,49
3,R,109.375,0.40449183223485347,48
